"Abriachan, Inverness, Inverness-shire, IV3 8LB"
"Park Brow, Dockray, Cumbria, CA11 0JY, North West England"
"Roberton, Hawick, Roxburghshire, TD9"
"Shakespeare Avenue, Bath, Avon, BA2 4RQ"
"Near Ridley Hall, Bardon Mill, Northumberland, NE47 7BP"
"Near Sinderhope, Allendale, Northumberland, NE47"
"Alnmouth, Warkworth, Northumberland, NE66"
"Altarichard Road, Magherahoney, County Antrim"
"Cerrigydrudion, Corwen, Clwyd, LL21 9TT"
"Alwinton, Near Harbottle, Northumberland, NE65 7BQ"
"Ashbury, Swindon, Wiltshire, SN6 8DB"
"Long Compton, Chipping Norton, Warwickshire, CV36 5JS"
"Oxton Hill, Southwell, Nottinghamshire, NG25 0RN"
"Blairgowrie, Dykends, Perthshire, PH11 8PR"
"Kingston Lacy, Wimbourne, Dorset, BH21 4DZ"
"Achiltibuie, Ullapool, Ross-shire, IV26 2YN"
"Hunderthwaite, Near Cotherstone, County Durham, DL12"
"Ballamenagh Road, Baldrine, Isle of Man, IM4 6AJ"
"Ballaugh Beach, The Cronk, Isle of Man, IM7"
"Common Lane, Brancaster, Norfolk, PE31 8DB"
"The Battlesteads Hotel, Wark, Northumberland, NE48 3LS"
"Bawsey, King's Lynn, Norfolk, PE32 1EP"
"Beacon Fell, Preston, Lancashire, PR3 2NL"
"Blackrock Road, Cookstown, County Tyrone, BT80 9PB"
"Old Leicester Road, Peterborough, Cambridgeshire, PE8 6NN"
"Beesands, Kingsbridge, Devon, TQ7 2EH"
"Poundsgate, Newton Abbot, Devon, TQ13 7PR"
"Warren House, Yelverton, Devon, PL20 6TA"
"Sea Coast Road, Downhill, County Londonderry, BT51 4SD"
"Bignor, Pulborough, West Sussex, RH20 1PH"
"Birling Gap, Eastbourne, Sussex, BN20 0AB"
"Hartfield, Crowborough, East Sussex, TN22 3JD"
"Littlebredy, Dorchester, Dorset, DT2 9HY"
"Blakey Bank, Church Houses, North Yorkshire, YO62 7LQ"
"Little Langdale, Ambleside, Cumbria, LA22 9PG"
"Blythe Hill Lane, London, SE23 1ND"
"Mill Bank, Whitby, North Yorkshire, YO22 4UQ"
"New Forest National Park, Lyndhurst, Hampshire, SO43 7GQ"
"Hill End, Frosterley, County Durham, DL13 2SY"
"North Hill, Bossington, Somerset, TA24"
"Newbiggin, Middleton-in-Teesdale, County Durham, DL12 0XF"
"Croasdale, Ennerdale Bridge, Cumbria, CA23 3AU"
"Holyhead, Anglesey, Gwynedd, LL65 1YG"
"Great Ellingham, Near Attleborough, Norfolk, NR17"
"Crai Reservoir, Cnewr, Powys, LD3"
"Crai Village, Libanus, Powys, LD3 8YP, Wales"
"Libanus, Brecon, Powys, LD3 8ER, Wales"
"Pontsticill, Merthyr Tydfil, Powys, CF48 2UR, Wales"
"Church Road, Penderyn, Powys, CF44 9JR, Wales"
"Near Trecastle, Brecon, Powys, LD3, Wales"
"B3223 Simonsbath to Hillsford Bridge, Lynmouth, Devon, EX35"
"Brendon Two Gates, Simonsbath, Somerset, TA24"
"Brimham Rocks Road, Harrogate, North Yorkshire, HG3 4DW"
"Brindley Road, Cannock, Staffordshire, WS12 4PR"
"Broadhaven, Bosherston"
"Loch Trool, Near Bargrennan, Wigtownshire, DG8"
"Dalegarth, Buckden, North Yorkshire, BD23 5JU"
"New Hey Road, Huddersfield, West Yorkshire, HD3 3FT"
"Ingram, Alnwick, Northumberland, NE66 4LT"
"High Street, Buriton, Hampshire, GU31 5RX"
"Wearhead, St Johns Chapel, County Durham, DL13"
"Ballyhalbert, Newtownards, County Down, BT22 1BT"
"Yelverton, Plymouth, Devon, PL20 6PE"
"Lower Down, Clun, Shropshire, SY7 8BD"
"West Ilsley, Wantage, Oxfordshire, OX12 8QX"
"Queen Elizabeth Country Park, Near Clanfield, Hampshire, PO8"
"Buttermere, Cockermouth, Cumbria, CA13 9XA, North West England"
"Bwlch Mountain, Near Treorchy, Mid Glamorgan, CF42, Wales"
"Ruthin, Llanbedr-Dyffryn-Clwyd, Clwyd, CH7 5SH"
"Bryn Uchaf, Machynlleth, Powys, SY20 9AH"
"Byland, Coxwold, North Yorkshire, YO61 4BD, Yorkshire and The Humber"
"Bramshaw, Lyndhurst, Hampshire, SO43 7HL"
"Shaugh Prior, Plymouth, Devon, PL7 5EH"
